waiting_times,avg_speeds,queue_lengths,travel_times,stopped_vehicles
59.50909090909091,20.084410672537793,55,163.01148409893992,55
98.57142857142857,16.40661893608426,35,163.13844797178132,35
102.48648648648648,36.123135795973575,37,162.90237467018468,37
112.35135135135135,38.53574040938012,37,162.59246275197196,37
110.5609756097561,13.396437214375906,41,162.4,41
87.29310344827586,6.406945718646599,58,163.09272097053727,58
126.83333333333333,6.026268156164933,42,162.809318377912,42
111.04545454545455,18.649401610189393,44,162.60154905335628,44
90.45,22.79453776288618,40,162.51246775580395,40
87.91304347826087,29.43881020288623,46,162.51246775580395,46
90.28,30.95201248747358,50,161.9726962457338,50
101.87755102040816,0.0,49,161.6663829787234,49
111.87755102040816,37.902280193662314,49,161.11336717428088,49
121.87755102040816,23.79336630623669,49,162.04222972972974,49
131.87755102040816,27.171990104145717,49,161.99410278011794,49
136.4313725490196,12.116665839986908,51,161.59479865771812,51
143.80769230769232,38.181074510038314,52,161.3804347826087,52
142.96428571428572,11.00949259008529,56,161.27151211361738,56
163.80769230769232,42.14524264193941,52,161.27151211361738,52
129.3030303030303,12.409463622494112,33,161.08590492076732,33
85.75,8.747902764621301,40,160.74896093100583,40
53.08695652173913,14.467653624694874,23,160.49792874896437,23
71.42105263157895,17.366472957658452,19,160.4863523573201,19
50.5,24.998075693207436,32,160.320692497939,32
46.53658536585366,16.30392462538956,41,160.21893004115228,41
40.37777777777778,19.164111853030775,45,160.33004926108376,45
76.63636363636364,17.760487093699304,22,160.38367346938776,22
54.083333333333336,11.084657886469468,36,160.37317073170732,36
56.87179487179487,17.947904352553913,39,161.05161290322582,39
64.82051282051282,8.511092967065535,39,163.93396976929196,39
86.28125,25.399555128180825,32,165.0984251968504,32
165.07692307692307,23.044094565723753,13,167.55183164458302,13
114.45,17.452813661880892,20,167.6403712296984,20
64.0,17.574656179860526,40,167.6058506543495,40
65.63414634146342,23.46081380950467,41,168.43954372623574,41
135.8,9.656638572408175,20,168.57132018209407,20
239.72727272727272,24.201650050492766,11,170.75527108433735,11
138.75,18.48514724946904,20,170.94135338345865,20
33.80769230769231,24.006561794431583,26,170.36071695294996,26
12.378378378378379,24.465142105747937,37,169.81784386617102,37
14.8,18.39881979119363,10,169.5099925980755,10
17.5625,23.478492636854863,16,170.35782512858194,16
14.857142857142858,13.152228122449728,35,170.59795321637426,35
26.25,21.473578969783304,28,171.24437998549675,28
28.72972972972973,34.3024526814554,37,172.59136690647483,37
64.8,7.150011795004826,10,172.61190817790532,10
58.46153846153846,27.51954658696611,13,172.89094796863864,13
38.916666666666664,2.539416407030788,24,173.08704883227176,24
42.642857142857146,29.603390283611716,28,172.66994382022472,28
49.36666666666667,32.222969417168834,30,172.66994382022472,30
114.8,22.532511984666968,10,172.44569025928521,10
70.94444444444444,29.027258812324497,18,172.44156752974106,18
36.90243902439025,14.921997620922529,41,172.54627696590117,41
55.15625,20.900978683700647,32,172.20943134535366,32
60.114285714285714,32.20435146321858,35,171.97923875432525,35
151.9090909090909,17.286476673908584,11,171.74896551724137,11
127.78571428571429,28.933003477587015,14,171.57554945054946,14
79.24,14.888901666646907,25,171.6716723549488,25
85.23076923076923,10.077144469439606,26,171.74746106973595,26
83.16666666666667,23.986526532764717,30,171.64864864864865,30
201.9090909090909,27.09107207128128,11,171.54416722859068,11
211.9090909090909,20.886271818160367,11,171.4993288590604,11
84.9,35.08402367763355,30,171.399064171123,30
87.875,24.82361925208479,32,171.03064623584277,32
77.39024390243902,18.10156617321365,41,170.74236387782204,41
251.9090909090909,22.4725394189495,11,170.5450331125828,11
113.53846153846153,22.977241919638136,26,170.6009265387161,26
107.13793103448276,21.97421055310162,29,170.65151515151516,29
92.55555555555556,14.496467313041023,27,170.8159790438769,27
19.615384615384617,21.717533147439326,26,170.77712418300655,26
6.9375,25.294577456689545,16,170.51760104302477,16
11.11111111111111,9.682525895755484,27,171.22697795071335,27
20.074074074074073,25.07082664948095,27,171.22164948453607,27
28.03448275862069,28.874557320715216,29,171.22522522522522,29
32.794117647058826,21.39348334262625,34,171.87564102564102,34
50.611111111111114,29.988180860069324,18,171.6602809706258,18
50.40909090909091,17.695027944212598,22,171.40712468193385,22
39.19444444444444,13.584792288903401,36,171.74320050600886,36
49.48571428571429,36.788835293713795,35,171.81978575929426,35
59.48571428571429,27.80581008593731,35,171.6433962264151,35
57.24390243902439,23.44874140989245,41,171.473948524796,41
55.0,21.788109773159793,51,171.633125,51
77.61538461538461,27.972981076736183,39,171.3229426433915,39
74.78260869565217,17.446195213516305,46,171.0136815920398,46
95.225,10.952442428073587,40,170.64807930607188,40
102.70731707317073,24.461822155872923,41,170.73716759431045,41
105.29545454545455,28.94096541877682,44,170.57371992597163,44
110.3695652173913,19.39391144681735,46,170.31815384615385,46
108.6470588235294,15.194058055485247,51,170.17014742014743,51
127.76595744680851,15.953467716532918,47,170.38848039215685,47
137.7659574468085,38.84490638993608,47,170.1633027522936,47
147.7659574468085,38.081357347320235,47,170.11484422724496,47
157.7659574468085,33.059217642569436,47,169.87263863497867,47
141.41071428571428,15.407683309181209,56,169.6928223844282,56
158.16981132075472,25.180772394657673,53,169.66646415552856,53
149.11666666666667,25.42807627359205,60,169.48392965433595,60
166.19298245614036,33.22988266686945,57,169.3595641646489,57
177.96428571428572,30.154100833986185,56,169.20133010882708,56
181.6909090909091,8.777995150481436,55,169.05555555555554,55
140.96774193548387,9.138822513664831,31,168.78795180722892,31
52.473684210526315,20.525517669437704,19,168.55829326923077,19
47.07692307692308,25.420543776870677,26,168.37072585482903,26
42.25,20.163189967342525,36,168.42001198322347,36
31.56451612903226,19.04723161895197,62,168.42001198322347,62
24.80952380952381,12.338977123974399,21,168.4299344066786,21
23.606060606060606,27.611714293340675,33,168.10695187165774,33
40.21739130434783,22.736670293541863,23,169.69094138543517,23
44.666666666666664,7.586964106132277,24,171.20659211300764,24
45.333333333333336,24.367536077965326,30,172.0379451255108,30
51.27272727272727,16.998795137281707,22,173.38448176027794,22
51.03703703703704,32.357788424309305,27,173.219723183391,27
31.821428571428573,16.341452663978348,56,173.3271995399655,56
53.625,19.404081793410874,32,174.43522727272727,32
64.80645161290323,2.970286185813563,31,175.50169109357384,31
83.76190476190476,17.898153057943986,21,175.31141090500282,21
93.76190476190476,26.179309487809473,21,175.0768367919237,21
66.3529411764706,34.26011490081541,34,174.95238095238096,34
67.71052631578948,19.68476314334869,38,174.92505592841164,38
78.89189189189189,6.417034620895047,37,175.22314969393435,37
140.8235294117647,23.027645152329566,17,174.91694352159467,17
104.52,26.639098525642606,25,174.97011621472052,25
107.88461538461539,31.525377228246754,26,174.9873138444567,26
73.1219512195122,21.251484731695356,41,175.51754385964912,41
131.125,11.164512595807446,24,176.39858233369685,24
140.4090909090909,20.87631847151249,22,176.97726042230644,22
120.66666666666667,18.673340413132323,27,176.78671706263498,27
107.0,24.191803877521018,33,176.58978494623656,33
93.90243902439025,10.460636300152805,41,176.426731078905,41
109.36842105263158,19.350669315611764,38,176.47779561262706,38
207.5,25.060573228057574,18,176.23959445037354,18
81.18181818181819,11.063957942516124,11,177.02767429483768,11
9.586206896551724,21.519422370859143,29,177.13763896241397,29
16.194444444444443,20.404079275755844,36,177.3008942661757,36
24.357142857142858,12.778643535078261,28,177.1937172774869,28
30.1875,38.22405684087619,16,176.9566353187043,16
25.666666666666668,22.368459040533104,24,176.7356621480709,24
23.31578947368421,8.901463394708312,38,176.98807053941908,38
29.266666666666666,28.19920398271329,45,176.87221934816347,45
60.111111111111114,10.767560910434055,18,176.8081695966908,18
60.10526315789474,29.515422095805643,19,176.68853305785123,19
49.77777777777778,20.571690447675408,27,176.4935533780299,27
46.088235294117645,38.3031952983449,34,176.52542372881356,34
54.57142857142857,33.82433800636341,35,176.34923076923076,35
73.57142857142857,17.655247028015882,28,176.22592213114754,28
73.40625,21.396453302524634,32,176.1079283887468,32
74.55555555555556,7.787617559346703,36,176.0387755102041,36
78.1025641025641,22.72444382346136,39,176.65602836879432,39
65.27777777777777,35.545567318736815,54,176.52997481108312,54
152.0,6.448860602889927,16,176.32060301507536,16
132.6315789473684,24.6796732754644,19,176.20270948319117,19
68.6829268292683,12.373080759494673,41,176.15222834251378,41
